"","RentRs","RentUSD","Posted.On","BHK","Size","Floor","Apt.Floor","Total.Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","Month.Num","Month"
"14",5500,66,2022-05-09,1,375,"1 out of 2",1,2,"Carpet Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"15",8500,102,2022-05-05,3,900,"Ground out of 2",1,2,"Carpet Area","Paschim Barisha","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"16",40000,480,2022-06-01,3,1286,"1 out of 1",1,1,"Carpet Area","New Town Action Area 1","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"17",6000,72,2022-05-17,2,600,"1 out of 2",1,2,"Super Area","Barasat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"18",10000,120,2022-06-20,2,800,"Ground out of 2",1,2,"Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"19",11000,132,2022-06-09,2,2000,"Ground out of 3",1,3,"Carpet Area","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"20",6000,72,2022-06-09,2,660,"1 out of 2",1,2,"Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"21",7900,94.8,2022-07-02,2,650,"1 out of 2",1,2,"Carpet Area","Santoshpur","Kolkata","Unfurnished","Family",1,"Contact Owner",7,"July"
"22",9000,108,2022-06-14,2,400,"2 out of 3",2,3,"Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"23",4000,48,2022-06-15,1,300,"Ground out of 4",1,4,"Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"24",6500,78,2022-06-15,3,1600,"Ground out of 2",1,2,"Super Area","Joka","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"25",8000,96,2022-05-28,1,400,"1 out of 2",1,2,"Super Area","Sreebhumi","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",5,"May"
"26",7000,84,2022-05-22,2,1000,"1 out of 1",1,1,"Super Area","Rajarhat","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"27",5300,63.6,2022-06-18,1,355,"1 out of 1",1,1,"Carpet Area","Dum Dum","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",6,"June"
"28",6000,72,2022-06-25,2,1000,"Ground out of 3",1,3,"Super Area","Kodalia, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"29",8500,102,2022-06-22,2,800,"4 out of 5",4,5,"Super Area","Baguiati","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"30",12500,150,2022-06-25,2,850,"Ground out of 2",1,2,"Super Area","Rabindra Sarobar Area, Dhakuria","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"31",7500,90,2022-05-21,1,350,"Ground out of 2",1,2,"Carpet Area","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"32",15000,180,2022-06-26,2,900,"Ground out of 2",1,2,"Carpet Area","Project Kaikhali, Vip Road","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"33",6000,72,2022-06-16,2,550,"1 out of 1",1,1,"Super Area","Vip Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"34",5000,60,2022-06-29,2,500,"Ground out of 2",1,2,"Carpet Area","Baruipur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"35",22000,264,2022-05-10,3,1100,"2 out of 3",2,3,"Carpet Area","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"36",15000,180,2022-05-12,2,850,"1 out of 2",1,2,"Carpet Area","Sreebhumi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"37",12500,150,2022-06-03,2,800,"2 out of 2",2,2,"Carpet Area","Shyam Bazar","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",6,"June"
"38",7000,84,2022-05-31,2,630,"Ground out of 3",1,3,"Carpet Area","Birati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"39",21000,252,2022-06-10,2,900,"1 out of 2",1,2,"Carpet Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",6,"June"
"40",10000,120,2022-06-24,1,270,"1 out of 2",1,2,"Carpet Area","Jadavpur University","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"41",7200,86.4,2022-06-29,2,630,"Ground out of 1",1,1,"Carpet Area","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"42",12000,144,2022-05-12,3,1500,"Ground out of 2",1,2,"Carpet Area","Bhadrakali","Kolkata","Furnished","Bachelors",2,"Contact Owner",5,"May"
"43",5000,60,2022-06-26,1,600,"2 out of 5",2,5,"Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"44",8500,102,2022-04-30,2,700,"4 out of 14",4,14,"Carpet Area","Baruipur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4,"April"
"45",6000,72,2022-05-27,1,300,"Ground out of 3",1,3,"Super Area","Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"46",10000,120,2022-06-06,2,1300,"Ground out of 1",1,1,"Super Area","Kalikapur","Kolkata","Semi-Furnished","Family",2,"Contact Owner",6,"June"
"47",4600,55.2,2022-05-20,2,400,"3 out of 3",3,3,"Carpet Area","Behala","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",5,"May"
"48",12000,144,2022-07-02,2,650,"Ground out of 1",1,1,"Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Family",2,"Contact Owner",7,"July"
"49",30000,360,2022-05-26,3,2000,"Ground out of 2",1,2,"Super Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"50",15000,180,2022-05-12,3,1068,"Ground out of 3",1,3,"Super Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"51",7500,90,2022-06-22,1,150,"1 out of 1",1,1,"Super Area","Salt Lake City","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"52",7500,90,2022-06-25,1,450,"2 out of 2",2,2,"Carpet Area","New Town","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"53",5000,60,2022-07-03,2,800,"Ground out of 1",1,1,"Carpet Area","Baruipur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"54",15000,180,2022-04-23,2,1000,"Ground out of 2",1,2,"Super Area","Bansdroni","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"55",11000,132,2022-05-14,2,900,"5 out of 5",5,5,"Super Area","Pancha Sayar","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",5,"May"
"56",7000,84,2022-05-27,1,600,"Ground out of 2",1,2,"Carpet Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"57",6000,72,2022-06-19,2,1200,"1 out of 1",1,1,"Super Area","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"58",6000,72,2022-06-19,2,1200,"2 out of 2",2,2,"Super Area","Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",6,"June"
"59",7000,84,2022-07-02,2,650,"Ground out of 3",1,3,"Super Area","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"60",8500,102,2022-07-06,2,720,"4 out of 4",4,4,"Carpet Area","Shrachi Village, Madhyam Gram","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"61",5000,60,2022-07-02,1,300,"1 out of 3",1,3,"Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",7,"July"
"62",30000,360,2022-06-21,3,1200,"Ground out of 2",1,2,"Carpet Area","VIP Road Haldiram","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",6,"June"
"63",10000,120,2022-06-04,2,700,"7 out of 8",7,8,"Carpet Area","Sarsuna","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"64",30000,360,2022-06-24,3,2000,"1 out of 3",1,3,"Super Area","Naihati","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"65",3500,42,2022-05-14,1,250,"Ground out of 4",1,4,"Super Area","Baksara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"66",8000,96,2022-06-26,2,1100,"Ground out of 3",1,3,"Carpet Area","Naihati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"67",5000,60,2022-07-02,1,300,"Ground out of 2",1,2,"Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"68",7500,90,2022-05-05,2,600,"Ground out of 2",1,2,"Super Area","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"69",6500,78,2022-05-18,2,800,"Ground out of 2",1,2,"Carpet Area","Chak Thakurani, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"70",7500,90,2022-06-07,1,680,"1 out of 3",1,3,"Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"71",7500,90,2022-06-07,1,680,"Ground out of 2",1,2,"Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"72",16000,192,2022-06-26,2,850,"1 out of 4",1,4,"Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",6,"June"
"73",16000,192,2022-06-26,2,850,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",6,"June"
"74",6500,78,2022-05-30,2,700,"Ground out of 2",1,2,"Super Area","Bandel","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"75",40000,480,2022-05-22,3,1500,"Ground out of 2",1,2,"Super Area","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"76",12500,150,2022-06-18,2,950,"1 out of 4",1,4,"Super Area","Magnolia Prestige, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"77",5500,66,2022-06-08,2,500,"Ground out of 2",1,2,"Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"78",5000,60,2022-06-25,1,450,"2 out of 4",2,4,"Carpet Area","Dum Dum Heights, Jessore Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"79",6500,78,2022-05-03,2,700,"Ground out of 2",1,2,"Super Area","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"80",8000,96,2022-05-12,1,500,"1 out of 2",1,2,"Super Area","Lake Town","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"81",14500,174,2022-06-01,3,1800,"Ground out of 2",1,2,"Super Area","Belghoria","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"82",8200,98.4,2022-05-23,1,500,"1 out of 3",1,3,"Carpet Area","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"83",15000,180,2022-05-23,2,480,"Ground out of 3",1,3,"Carpet Area","shukhobrishti","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"84",20000,240,2022-06-21,6,1000,"1 out of 1",1,1,"Super Area","Sonarpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"85",6700,80.4,2022-06-22,2,800,"1 out of 2",1,2,"Super Area","Baishnavghata patuli , house number s-300 Kolkata 700094","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"86",10000,120,2022-05-27,1,435,"2 out of 3",2,3,"Super Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"87",7000,84,2022-05-07,2,700,"Ground out of 2",1,2,"Carpet Area","Dum Dum Metro","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",5,"May"
"88",22000,264,2022-06-25,2,800,"4 out of 4",4,4,"Super Area","Hazra, Kalighat","Kolkata","Furnished","Bachelors/Family",1,"Contact Agent",6,"June"
"89",6500,78,2022-06-27,2,450,"1 out of 3",1,3,"Super Area","Ajoy Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"90",8500,102,2022-05-31,2,550,"2 out of 3",2,3,"Carpet Area","Kasba -East","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",5,"May"
"91",18000,216,2022-06-03,2,800,"Ground out of 4",1,4,"Carpet Area","Salt Lake City","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",6,"June"
"92",12000,144,2022-06-27,2,550,"Ground out of 2",1,2,"Carpet Area","Baghajatin","Kolkata","Semi-Furnished","Family",2,"Contact Owner",6,"June"
"93",9000,108,2022-05-15,1,600,"2 out of 4",2,4,"Super Area","Behala","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"94",6000,72,2022-06-09,1,500,"Ground out of 1",1,1,"Super Area","New Garia, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"95",20000,240,2022-04-28,2,1000,"1 out of 2",1,2,"Super Area","Anandapur","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"96",5000,60,2022-05-23,1,300,"1 out of 2",1,2,"Carpet Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"97",12000,144,2022-06-28,2,1200,"1 out of 3",1,3,"Super Area","Boral","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"98",10000,120,2022-06-23,2,500,"3 out of 4",3,4,"Carpet Area","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"99",18000,216,2022-04-29,4,1200,"1 out of 2",1,2,"Super Area","Bagbazar","Kolkata","Unfurnished","Family",2,"Contact Owner",4,"April"
"100",15000,180,2022-06-13,2,900,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"101",22000,264,2022-06-13,3,1300,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",6,"June"
"102",35000,420,2022-06-13,4,1600,"1 out of 5",1,5,"Carpet Area","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent",6,"June"
"103",21000,252,2022-05-14,3,1450,"Ground out of 1",1,1,"Super Area","Ajoy Nagar","Kolkata","Unfurnished","Family",2,"Contact Owner",5,"May"
"104",25000,300,2022-07-06,2,1100,"2 out of 2",2,2,"Super Area","Action Area 1, Rajarhat Newtown","Kolkata","Furnished","Bachelors",2,"Contact Agent",7,"July"
"105",180000,2160,2022-06-16,2,950,"Ground out of 1",1,1,"Carpet Area","Avenue S, Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"106",6000,72,2022-06-06,1,600,"8 out of 5",8,5,"Carpet Area","Pratiraksha Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"107",14000,168,2022-07-04,2,700,"Ground out of 2",1,2,"Carpet Area","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",7,"July"
"108",8000,96,2022-05-15,3,750,"Ground out of 2",1,2,"Super Area","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Family",1,"Contact Owner",5,"May"
"109",8000,96,2022-05-04,2,1000,"Ground out of 1",1,1,"Super Area","Purbasan, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"110",6000,72,2022-04-25,1,220,"Ground out of 2",1,2,"Super Area","Bidhan Pally, Bansdroni","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",4,"April"
"111",8000,96,2022-05-21,1,300,"1 out of 3",1,3,"Carpet Area","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",5,"May"
"112",6000,72,2022-06-27,1,300,"Ground out of 1",1,1,"Carpet Area","Tiljala Road","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"113",20000,240,2022-07-02,1,700,"1 out of 2",1,2,"Super Area","Sankaritola","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",7,"July"
"114",12000,144,2022-07-06,3,800,"Ground out of 1",1,1,"Super Area","Parnashree Lake, Behala","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",7,"July"
"115",15000,180,2022-04-28,3,1600,"1 out of 3",1,3,"Super Area","Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"116",14000,168,2022-05-15,2,1000,"1 out of 3",1,3,"Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"117",5000,60,2022-05-30,1,20,"2 out of 3",2,3,"Super Area","Dakshineswar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"118",7000,84,2022-06-10,2,400,"Ground out of 2",1,2,"Carpet Area","chatana","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"119",3900,46.8,2022-06-23,1,200,"2 out of 2",2,2,"Super Area","Shyam Bazar","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"120",14000,168,2022-06-09,3,840,"1 out of 4",1,4,"Carpet Area","Mukundapur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"121",6300,75.6,2022-06-19,1,300,"1 out of 1",1,1,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",6,"June"
"122",13000,156,2022-07-03,2,550,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Furnished","Bachelors/Family",2,"Contact Agent",7,"July"
"123",6800,81.6,2022-07-03,1,300,"1 out of 2",1,2,"Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",7,"July"
"124",8000,96,2022-05-14,2,800,"1 out of 1",1,1,"Super Area","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"125",10000,120,2022-05-10,2,740,"Ground out of 6",1,6,"Carpet Area","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"126",18000,216,2022-04-25,2,1300,"1 out of 1",1,1,"Super Area","Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"127",8000,96,2022-06-13,2,650,"Ground out of 1",1,1,"Super Area","Garia Station, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"128",8000,96,2022-05-06,2,490,"1 out of 1",1,1,"Super Area","Entally","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"129",4700,56.4,2022-06-08,1,250,"2 out of 2",2,2,"Super Area","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"130",4700,56.4,2022-06-08,1,250,"Ground out of 1",1,1,"Super Area","Dash Drone, Rajarhat Newtown","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"131",4500,54,2022-05-06,1,450,"1 out of 2",1,2,"Super Area","Rabindra Pally, Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"132",6000,72,2022-06-30,1,300,"Ground out of 1",1,1,"Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"133",16000,192,2022-06-24,2,750,"1 out of 3",1,3,"Super Area","Rajdanga Gardens, Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"134",4700,56.4,2022-07-01,1,250,"1 out of 2",1,2,"Super Area","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",7,"July"
"135",14000,168,2022-06-17,2,751,"3 out of 3",3,3,"Carpet Area","Baghajatin","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"136",9000,108,2022-06-26,2,900,"Ground out of 2",1,2,"Carpet Area","Lake Town","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner",6,"June"
"137",5000,60,2022-06-23,2,400,"1 out of 3",1,3,"Carpet Area","Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"138",17500,210,2022-06-13,2,1000,"Ground out of 2",1,2,"Carpet Area","Salt Lake City","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"139",8500,102,2022-06-11,2,1000,"Ground out of 1",1,1,"Carpet Area","South Baksara","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"140",15000,180,2022-05-26,3,1500,"1 out of 1",1,1,"Carpet Area","Chandannagar, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Family",2,"Contact Owner",5,"May"
"141",12500,150,2022-04-25,2,750,"1 out of 3",1,3,"Carpet Area","Sukhpally, Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",4,"April"
"142",13000,156,2022-05-11,1,1200,"2 out of 4",2,4,"Super Area","Kasba","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"143",8000,96,2022-05-06,2,700,"Ground out of 1",1,1,"Super Area","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"144",8000,96,2022-05-10,2,700,"4 out of 4",4,4,"Carpet Area","Garia Dhalua Nabapally","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"145",8000,96,2022-05-21,2,1000,"Ground out of 2",1,2,"Super Area","Chinar Park, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"146",7000,84,2022-06-12,2,1200,"1 out of 3",1,3,"Super Area","Konnagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"147",2200,26.4,2022-06-05,2,550,"2 out of 3",2,3,"Super Area","Behala silpara","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"148",8000,96,2022-06-25,2,800,"Ground out of 4",1,4,"Carpet Area","Vip Road","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"149",5500,66,2022-06-11,2,280,"1 out of 3",1,3,"Super Area","New Barrakpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"150",20000,240,2022-07-04,3,1100,"Ground out of 2",1,2,"Super Area","Thakurpukur, Kolkata","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",7,"July"
"151",7000,84,2022-05-10,2,950,"Ground out of 2",1,2,"Super Area","Kaikhali","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",5,"May"
"152",3500,42,2022-05-13,1,250,"1 out of 2",1,2,"Super Area","Phool Bagan, Kankurgachi","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"153",5000,60,2022-05-10,2,1000,"Ground out of 2",1,2,"Carpet Area","Hindmotor","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"154",20000,240,2022-06-30,3,1000,"Ground out of 2",1,2,"Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"155",7000,84,2022-05-27,2,650,"Ground out of 2",1,2,"Super Area","Howrah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"156",10000,120,2022-06-08,2,700,"1 out of 2",1,2,"Super Area","Benia Pukur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"157",7000,84,2022-05-15,2,700,"Ground out of 3",1,3,"Carpet Area","Baguiati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",5,"May"
"158",12000,144,2022-06-29,3,1000,"Ground out of 3",1,3,"Super Area","E M Bypass","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"159",14500,174,2022-05-13,2,900,"1 out of 4",1,4,"Carpet Area","Panchanan Tola, Thakurpukur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"160",6000,72,2022-05-25,1,700,"1 out of 2",1,2,"Super Area","VIP Nagar, E M Bypass","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
